X,Y,Universe,Channel,Name
64,55,2,93,"RGB_light #0644"
65,55,2,96,"RGB_light #0645"
66,55,2,99,"RGB_light #0646"
67,55,2,102,"RGB_light #0647"
68,55,2,105,"RGB_light #0648"
69,55,2,108,"RGB_light #0649"
70,55,2,111,"RGB_light #0650"
71,55,2,114,"RGB_light #0651"
72,55,2,117,"RGB_light #0652"
73,55,2,120,"RGB_light #0653"
74,55,2,123,"RGB_light #0654"
75,55,2,126,"RGB_light #0655"
76,55,2,129,"RGB_light #0656"
77,55,2,132,"RGB_light #0657"
78,55,2,135,"RGB_light #0658"
55,54,2,0,"RGB_light #0659"
56,54,2,3,"RGB_light #0660"
57,54,2,6,"RGB_light #0661"
58,54,2,9,"RGB_light #0662"
59,54,2,12,"RGB_light #0663"
60,54,2,15,"RGB_light #0664"
61,54,2,18,"RGB_light #0665"
62,54,2,21,"RGB_light #0666"
63,54,2,24,"RGB_light #0667"
64,54,2,27,"RGB_light #0668"
65,54,2,30,"RGB_light #0669"
66,54,2,33,"RGB_light #0670"
67,54,2,36,"RGB_light #0671"
68,54,2,39,"RGB_light #0672"
69,54,2,42,"RGB_light #0673"
70,54,2,45,"RGB_light #0674"
71,54,2,48,"RGB_light #0675"
72,54,2,51,"RGB_light #0676"
73,54,2,54,"RGB_light #0677"
74,54,2,57,"RGB_light #0678"
75,54,2,60,"RGB_light #0679"
76,54,2,63,"RGB_light #0680"
77,54,2,66,"RGB_light #0681"
56,53,1,297,"RGB_light #0682"
57,53,1,300,"RGB_light #0683"
58,53,1,303,"RGB_light #0684"
59,53,1,306,"RGB_light #0685"
60,53,1,309,"RGB_light #0686"
61,53,1,312,"RGB_light #0687"
62,53,1,315,"RGB_light #0688"
63,53,1,318,"RGB_light #0689"
64,53,1,321,"RGB_light #0690"
65,53,1,324,"RGB_light #0691"
66,53,1,327,"RGB_light #0692"
67,53,1,330,"RGB_light #0693"
68,53,1,333,"RGB_light #0694"
69,53,1,336,"RGB_light #0695"
70,53,1,339,"RGB_light #0696"
71,53,1,342,"RGB_light #0697"
72,53,1,345,"RGB_light #0698"
73,53,1,348,"RGB_light #0699"
74,53,1,351,"RGB_light #0700"
75,53,1,354,"RGB_light #0701"
76,53,1,357,"RGB_light #0702"
77,53,1,360,"RGB_light #0703"
78,53,1,363,"RGB_light #0704"
55,52,1,225,"RGB_light #0705"
56,52,1,228,"RGB_light #0706"
57,52,1,231,"RGB_light #0707"
58,52,1,234,"RGB_light #0708"
59,52,1,237,"RGB_light #0709"
60,52,1,240,"RGB_light #0710"
61,52,1,243,"RGB_light #0711"
62,52,1,246,"RGB_light #0712"
63,52,1,249,"RGB_light #0713"
64,52,1,252,"RGB_light #0714"
65,52,1,255,"RGB_light #0715"
66,52,1,258,"RGB_light #0716"
67,52,1,261,"RGB_light #0717"
68,52,1,264,"RGB_light #0718"
69,52,1,267,"RGB_light #0719"
70,52,1,270,"RGB_light #0720"
71,52,1,273,"RGB_light #0721"
72,52,1,276,"RGB_light #0722"
73,52,1,279,"RGB_light #0723"
74,52,1,282,"RGB_light #0724"
75,52,1,285,"RGB_light #0725"
76,52,1,288,"RGB_light #0726"
77,52,1,291,"RGB_light #0727"
78,52,1,294,"RGB_light #0728"
54,51,1,153,"RGB_light #0729"
55,51,1,156,"RGB_light #0730"
